attempt,success,cumulative_successes,success_rate_pct,current_model,input_temperature,predicted_path_delay_ps,predicted_path_delay_ns,predicted_path_delay_s,predicted_distance_m,input_t_sec,input_path_delay_ns,sampled_row_index,request_every_n_rows
1,0,0,0.0,default_physical_model,19.67491578795611,319999948.7865261,319999.9487865261,0.0003199999487865261,63999.989757305215,,640602.4395792776,0,50
51,0,0,0.0,default_physical_model,19.151358719956036,319999865.0173952,319999.8650173952,0.0003199998650173952,63999.97300347904,,640585.788395625,50,50
101,0,0,0.0,default_physical_model,17.64969856194868,319999624.7517699,319999.6247517699,0.0003199996247517699,63999.92495035398,,640581.7812720875,100,50
151,0,0,0.0,default_physical_model,18.13,319999701.59999996,319999.7016,0.00031999970159999995,63999.94032,,640577.11739035,150,50
201,0,0,0.0,default_physical_model,16.81,319999490.4,319999.49039999995,0.00031999949039999997,63999.89808,,640579.0362735875,200,50
251,0,0,0.0,default_physical_model,17.13,319999541.6,319999.5416,0.0003199995416,63999.90832,,640582.7895135125,250,50
301,0,0,0.0,default_physical_model,19.74766225556468,319999960.4259609,319999.9604259609,0.0003199999604259609,63999.99208519218,,640604.6683841625,300,50
351,0,0,0.0,default_physical_model,22.262016169117647,320000362.72258705,320000.3627225871,0.000320000362722587,64000.07254451741,,640619.4876274625,350,50
401,0,0,0.0,default_physical_model,21.38844934397163,320000222.951895,320000.222951895,0.000320000222951895,64000.044590379,,640604.028505525,400,50
451,0,0,0.0,default_physical_model,19.33243802322695,319999893.9900837,319999.8939900837,0.0003199998939900837,63999.97879801674,,640583.779259275,450,50
501,0,0,0.0,default_physical_model,16.5,319999440.79999995,319999.4407999999,0.0003199994408,63999.888159999995,,640572.2458019,500,50
551,0,0,0.0,default_physical_model,15.312782431818182,319999250.8451891,319999.2508451891,0.0003199992508451891,63999.85016903782,,640568.97785555,550,50
601,0,0,0.0,default_physical_model,15.0049254360587,319999201.58806974,319999.2015880697,0.0003199992015880697,63999.840317613955,,640569.75756575,600,50
651,0,0,0.0,default_physical_model,21.37572522555423,320000220.9160361,320000.2209160361,0.00032000022091603614,64000.044183207225,,640622.18218715,650,50
701,0,0,0.0,default_physical_model,25.83315612179487,320000934.10497946,320000.93410497945,0.00032000093410497943,64000.18682099589,,640640.7784905001,700,50
751,0,0,0.0,default_physical_model,26.87469455555556,320001100.75112885,320001.10075112886,0.00032000110075112884,64000.220150225774,,640631.9398073,750,50
801,0,0,0.0,default_physical_model,20.44970697234791,320000072.7531156,320000.0727531156,0.00032000007275311557,64000.01455062312,,640586.579880625,800,50
851,0,0,0.0,default_physical_model,17.0188965,319999523.82343996,319999.52382343996,0.00031999952382343993,63999.904764688,,640573.5652456625,850,50
901,0,0,0.0,default_physical_model,15.19,319999231.2,319999.2312,0.00031999923119999996,63999.84624,,640571.0487731874,900,50
951,0,0,0.0,default_physical_model,14.88,319999181.6,319999.1816,0.0003199991816,63999.83632,,640572.2315871124,950,50
1001,0,0,0.0,default_physical_model,19.07471433902576,319999852.7542942,319999.85275429423,0.0003199998527542942,63999.970550858845,,640608.893174725,1000,50
